Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,game_name,app_id,review_text,review_length,hours_played,review_date,owners,developers,publishers,genres,platforms,categories,release_date,price,label_1,label_2,label_3,final_label,category
10,56,56,Counter-Strike: Global Offensive,730,valve plus anti cheat,20,121.35,2026-03-01 23:34:47,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",,negative,negative,neutral,negative,Action
11,1292,1292,War Thunder,236390,best game ever,14,1382.6833333333334,2024-01-01 21:15:08,"20,000,000 .. 50,000,000",['Gaijin Entertainment'],['Gaijin Network Ltd'],"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet']","Aug 15, 2013",,positive,positive,positive,positive,Action
12,1118,1118,Lost Ark,1599340,addicted cant stop playing,36,16997.7,2026-02-06 16:55:01,"50,000,000 .. 100,000,000",['Smilegate RPG'],['Amazon Game Studios'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play']",['windows'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Partial Controller Support']","Feb 11, 2022",,positive,positive,negative,positive,Action
13,584,584,Call of Duty: Modern Warfare II,1938090,cod slop,8,110.96666666666668,2026-02-27 03:42:48,"50,000,000 .. 100,000,000","['Treyarch', 'Raven Software', 'Beenox', 'High Moon Studios', 'Sledgehammer Games', 'Infinity Ward', 'Activision Shanghai', 'Demonware']",['Activision'],['Action'],['windows'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Captions available', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support', 'HDR available']","Oct 27, 2022",,negative,neutral,neutral,neutral,Action
14,374,374,Palworld,1623730,catch pal pal,31,171.48333333333332,2026-02-28 01:22:09,"50,000,000 .. 100,000,000",['Pocketpair'],['Pocketpair'],"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows'],"['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Family Sharing']","Jan 18, 2024",2999.0,neutral,neutral,neutral,neutral,Action
15,275,275,PUBG: BATTLEGROUNDS,578080,best,8,2583.95,2026-02-19 07:23:44,"100,000,000 .. 200,000,000",['PUBG Corporation'],"['KRAFTON, Inc.']","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']",['windows'],"['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']","Dec 21, 2017",,positive,positive,positive,positive,Action
16,746,746,Black Myth: Wukong,2358720,wish wa middle option game ha much potential manage grab know people love journey west great story deus capture essence thing love chinese culture journal entry character combat linearity soul like come back undermine narrative combat feel light weightless never quite sure dodging attack heavy attack feel wrong linearity forgivable ellen ring fan find boxed set path boring challenging pacing dictated deus personal opinion game flow rather mine ellen ring wa like gothic risen brutal difficulty curve soul spawn instead reloading old save would strongly recommend anyone love soul game want like monkey show,963,7.783333333333333,2026-03-01 00:06:50,"50,000,000 .. 100,000,000",['Game Science'],['Game Science'],"['Action', 'Adventure', 'RPG']",['windows'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Aug 19, 2024",5999.0,positive,positive,neutral,positive,Action
17,128,128,Apex Legends,1172470,node good game,15,1111.3333333333333,2025-06-05 16:35:39,"100,000,000 .. 200,000,000",['Respawn'],['Electronic Arts'],"['Action', 'Adventure', 'Free To Play']",['windows'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Chat Speech-to-text', 'Playable without Timed Input']","Nov 4, 2020",,positive,positive,positive,positive,Action
18,1646,1646,ELDEN RING,1245620,game worth buck,25,84.38333333333334,2026-03-01 14:54:24,"20,000,000 .. 50,000,000","['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']","['Action', 'RPG']",['windows'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Feb 24, 2022",5999.0,positive,positive,neutral,positive,Action
19,1852,1852,Path of Exile 2,2694490,loooovvvveeeeedddddddd poe man game run like instance like break lag happen lot not connection fiber hope work lot right diabolo make game seem like,220,53.21666666666667,2026-02-27 06:13:12,"20,000,000 .. 50,000,000",['Grinding Gear Games'],['Grinding Gear Games'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Early Access']",['windows'],"['Single-player', 'Multi-player', 'MMO', 'Co-op', 'Online Co-op', 'Full controller support', 'HDR available']","Dec 6, 2024",2999.0,negative,positive,negative,negative,Action
20,674,674,New World: Aeternum,1063730,amazing game fun playing solo friend,51,278.28333333333336,2026-02-12 21:56:04,"50,000,000 .. 100,000,000",['Amazon Game Studios'],['Amazon Game Studios'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG']",['windows'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Chat Speech-to-text', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support']","Sep 28, 2021",,positive,positive,positive,positive,Action
21,1664,1664,ELDEN RING,1245620,game painful everyway possible game make fun,69,17.066666666666666,2026-03-01 09:36:15,"20,000,000 .. 50,000,000","['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']","['Action', 'RPG']",['windows'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Feb 24, 2022",5999.0,negative,positive,negative,negative,Action
22,1981,1981,Wallpaper Engine,431960,long time wa played game not say,63,33.31666666666667,2026-03-01 03:36:36,"20,000,000 .. 50,000,000",['Wallpaper Engine Team'],['Wallpaper Engine Team'],"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']",['windows'],"['Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Includes level editor']","Nov 16, 2018",499.0,negative,positive,neutral,negative,Casual
23,1083,1083,Unturned,304930,wish wa mutilate,28,65.98333333333333,2023-02-26 23:08:41,"50,000,000 .. 100,000,000",['Smartly Dressed Games'],['Smartly Dressed Games'],"['Action', 'Adventure', 'Casual', 'Indie', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']","Jul 7, 2017",,neutral,positive,neutral,neutral,Action
24,1922,1922,Wallpaper Engine,431960,wallpaper,9,6.333333333333333,2026-03-01 21:55:05,"20,000,000 .. 50,000,000",['Wallpaper Engine Team'],['Wallpaper Engine Team'],"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']",['windows'],"['Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Includes level editor']","Nov 16, 2018",499.0,neutral,neutral,neutral,neutral,Casual
25,99,99,Counter-Strike: Global Offensive,730,good anti cheat suck,33,93.78333333333332,2026-03-01 21:57:58,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",,negative,negative,positive,negative,Action
26,1179,1179,Lost Ark,1599340,badly designed game deus new gaming,56,118.58333333333331,2025-12-01 05:56:20,"50,000,000 .. 100,000,000",['Smilegate RPG'],['Amazon Game Studios'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG', 'Free To Play']",['windows'],"['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Partial Controller Support']","Feb 11, 2022",,negative,negative,negative,negative,Action
27,964,964,Left 4 Dead 2,550,good game no left dead yet,34,52.28333333333333,2026-03-01 00:58:13,"50,000,000 .. 100,000,000",['Valve'],['Valve'],['Action'],"['windows', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","Nov 16, 2009",999.0,positive,negative,neutral,positive,Action
28,792,792,Black Myth: Wukong,2358720,good,4,39.583333333333336,2026-02-27 12:32:40,"50,000,000 .. 100,000,000",['Game Science'],['Game Science'],"['Action', 'Adventure', 'RPG']",['windows'],"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Aug 19, 2024",5999.0,positive,positive,positive,positive,Action
29,29,29,Counter-Strike: Global Offensive,730,best game awful anticheat tho,29,178.06666666666666,2026-03-02 00:39:44,"100,000,000 .. 200,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Valve Anti-Cheat enabled', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Steam Timeline']","Aug 21, 2012",,negative,positive,negative,negative,Action
30,628,628,New World: Aeternum,1063730,got play seven hour already shutting vaporware no refund point,122,7.65,2026-02-25 05:36:06,"50,000,000 .. 100,000,000",['Amazon Game Studios'],['Amazon Game Studios'],"['Action', 'Adventure', 'Massively Multiplayer', 'RPG']",['windows'],"['Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Chat Speech-to-text', 'Chat Text-to-speech', 'Color Alternatives', 'Custom Volume Controls', 'Keyboard Only Option', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support']","Sep 28, 2021",,negative,positive,neutral,negative,Action
31,944,944,Left 4 Dead 2,550,good,7,4.2,2026-03-01 08:22:08,"50,000,000 .. 100,000,000",['Valve'],['Valve'],['Action'],"['windows', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","Nov 16, 2009",999.0,positive,positive,positive,positive,Action
32,572,572,Call of Duty: Modern Warfare II,1938090,absolute worst cod ever made never buying another call duty ever actually wa bad wa horrendous whoever made game disembowel strangled entrails,234,153.36666666666667,2026-02-27 19:35:57,"50,000,000 .. 100,000,000","['Treyarch', 'Raven Software', 'Beenox', 'High Moon Studios', 'Sledgehammer Games', 'Infinity Ward', 'Activision Shanghai', 'Demonware']",['Activision'],['Action'],['windows'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Captions available', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Partial Controller Support', 'HDR available']","Oct 27, 2022",,negative,positive,negative,negative,Action
33,907,907,Left 4 Dead 2,550,mean left dead,27,41.16666666666666,2026-03-01 22:12:01,"50,000,000 .. 100,000,000",['Valve'],['Valve'],['Action'],"['windows', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing', 'Steam Timeline']","Nov 16, 2009",999.0,neutral,negative,negative,negative,Action
34,1080,1080,Unturned,304930,,3,44.15,2023-03-19 12:51:17,"50,000,000 .. 100,000,000",['Smartly Dressed Games'],['Smartly Dressed Games'],"['Action', 'Adventure', 'Casual', 'Indie', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']","Jul 7, 2017",,neutral,positive,positive,positive,Action
35,450,450,Team Fortress 2,440,fun game ever played looking not serious fps fun look,108,295.01666666666665,2026-02-22 18:32:58,"50,000,000 .. 100,000,000",['Valve'],['Valve'],"['Action', 'Free To Play']","['windows', 'linux']","['Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet']","Oct 10, 2007",,positive,positive,positive,positive,Action
36,1609,1609,ELDEN RING,1245620,margin perfect teacher,28,6.883333333333334,2026-03-01 23:07:44,"20,000,000 .. 50,000,000","['FromSoftware, Inc.']","['FromSoftware, Inc.', 'Bandai Namco Entertainment']","['Action', 'RPG']",['windows'],"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing']","Feb 24, 2022",5999.0,positive,positive,positive,positive,Action
37,1290,1290,War Thunder,236390,hate using aim,29,986.3333333333334,2024-01-14 01:11:05,"20,000,000 .. 50,000,000",['Gaijin Entertainment'],['Gaijin Network Ltd'],"['Action', 'Massively Multiplayer', 'Simulation', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'VR Supported', 'Steam Trading Cards', 'In-App Purchases', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Remote Play on Phone', 'Remote Play on Tablet']","Aug 15, 2013",,negative,positive,negative,negative,Action
38,1078,1078,Unturned,304930,,1,21.58333333333333,2023-04-05 22:35:56,"50,000,000 .. 100,000,000",['Smartly Dressed Games'],['Smartly Dressed Games'],"['Action', 'Adventure', 'Casual', 'Indie', 'Free To Play']","['windows', 'mac', 'linux']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Stereo Sound', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Remote Play on Tablet']","Jul 7, 2017",,neutral,neutral,neutral,neutral,Action
39,254,254,PUBG: BATTLEGROUNDS,578080,,1,126.35,2026-02-22 02:48:51,"100,000,000 .. 200,000,000",['PUBG Corporation'],"['KRAFTON, Inc.']","['Action', 'Adventure', 'Massively Multiplayer', 'Free To Play']",['windows'],"['Multi-player', 'PvP', 'Online PvP', 'Stats', 'Remote Play on Phone', 'Remote Play on Tablet']","Dec 21, 2017",,neutral,neutral,neutral,neutral,Action
40,124,124,Apex Legends,1172470,best genteel across fps touched,43,1583.1,2025-06-29 21:01:44,"100,000,000 .. 200,000,000",['Respawn'],['Electronic Arts'],"['Action', 'Adventure', 'Free To Play']",['windows'],"['Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Chat Speech-to-text', 'Playable without Timed Input']","Nov 4, 2020",,positive,positive,positive,positive,Action
41,1927,1927,Wallpaper Engine,431960,coated,6,394.7166666666666,2026-03-01 20:43:06,"20,000,000 .. 50,000,000",['Wallpaper Engine Team'],['Wallpaper Engine Team'],"['Casual', 'Indie', 'Animation & Modeling', 'Design & Illustration', 'Photo Editing', 'Utilities']",['windows'],"['Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Workshop', 'Includes level editor']","Nov 16, 2018",499.0,positive,neutral,neutral,neutral,Casual
